Time,Cloud
2022/11/1 10:17,0.98
2022/11/1 10:17,0.98
2022/11/2 09:33,0.95
2022/11/2 09:33,0.89
2022/11/2 09:33,0.84
2022/11/2 09:33,0.86
2022/11/2 09:33,0.98
2022/11/3 09:32,0.84
2022/11/3 09:32,0.72
2022/11/3 09:32,0.3
2022/11/3 09:37,0.73
2022/11/3 10:08,0.47
2022/11/3 10:08,0.06
2022/11/4 09:34,0.67
2022/11/4 09:34,0.87
2022/11/4 09:34,0.88
2022/11/4 10:08,0.97
2022/11/4 10:08,0.97
2022/11/5 09:31,0.99
2022/11/5 09:31,0.77
2022/11/5 09:37,0.96
2022/11/5 09:37,0.68
2022/11/5 09:56,0.97
2022/11/5 09:56,0.8
2022/11/6 09:53,0.17
2022/11/6 09:53,0.11
2022/11/6 09:53,0.03
2022/11/6 10:05,0.71
2022/11/6 10:05,0.69
2022/11/6 10:07,0.14
2022/11/6 10:07,0.04
2022/11/6 10:07,0.01
2022/11/7 09:29,0.89
2022/11/7 09:29,0.79
2022/11/7 10:08,0.61
2022/11/7 10:09,0.95
2022/11/7 10:09,0.72
2022/11/8 09:37,0.86
2022/11/8 09:37,0.98
2022/11/8 09:37,1
2022/11/8 10:08,0.91
2022/11/8 10:08,0.93
2022/11/8 10:18,0.99
2022/11/8 10:18,1
2022/11/9 09:34,0.19
2022/11/9 09:34,0.01
2022/11/9 09:34,0
2022/11/9 10:08,0
2022/11/9 10:08,0
2022/11/9 10:08,0
2022/11/9 10:11,0.01
2022/11/9 10:11,0
2022/11/10 10:09,0.31
2022/11/10 10:09,0.12
2022/11/10 10:10,0.88
2022/11/10 10:11,0.35
2022/11/11 10:10,0.65
2022/11/11 10:10,0.73
2022/11/11 10:10,0.57
2022/11/11 10:25,0.64
2022/11/11 10:25,0.75
2022/11/11 10:25,0.71
2022/11/12 09:31,0.8
2022/11/12 09:31,0.56
2022/11/12 09:37,1
2022/11/12 09:37,0.99
2022/11/12 09:37,0.94
2022/11/13 09:35,1
2022/11/13 09:35,0.95
2022/11/13 09:35,0.62
2022/11/13 09:58,0.92
2022/11/13 09:58,0.64
2022/11/13 10:10,0.99
2022/11/13 10:10,0.87
2022/11/14 09:33,0.03
2022/11/14 09:33,0.01
2022/11/14 09:33,0.02
2022/11/14 09:37,0.05
2022/11/14 09:37,0.02
2022/11/15 09:30,0.06
2022/11/15 09:30,0
2022/11/15 10:09,1
2022/11/15 10:09,0.9
2022/11/15 10:09,0.37
2022/11/15 10:11,1
2022/11/15 10:11,0.99
2022/11/15 10:11,0.6
2022/11/15 10:20,0.84
2022/11/16 10:06,0.99
2022/11/16 10:08,0.98
2022/11/16 10:08,0.99
2022/11/16 10:08,0.99
2022/11/16 10:11,1
2022/11/16 10:11,1
2022/11/16 10:11,0.99
2022/11/17 09:38,0.95
2022/11/17 09:38,0.99
2022/11/17 09:38,0.98
2022/11/17 10:08,0.61
2022/11/17 10:11,0.94
2022/11/17 10:11,0.84
2022/11/18 10:08,0.82
2022/11/18 10:08,0.88
2022/11/18 10:08,0.79
2022/11/18 10:10,0.82
2022/11/18 10:10,0.68
2022/11/19 09:30,0.1
2022/11/19 09:30,0.61
2022/11/19 09:54,0.01
2022/11/19 09:54,0.16
2022/11/19 09:54,0.72
2022/11/19 10:09,0.86
2022/11/19 10:09,0.63
2022/11/19 10:17,0.16
2022/11/19 10:17,0.6
2022/11/19 10:17,0.74
2022/11/20 09:35,0.67
2022/11/20 09:35,0.94
2022/11/20 10:09,0.56
2022/11/20 10:09,0.91
2022/11/20 10:09,0.97
2022/11/21 09:57,0.28
2022/11/21 09:57,0.02
2022/11/21 10:07,0.62
2022/11/21 10:07,0.05
2022/11/21 10:24,0.82
2022/11/21 10:24,0.32
2022/11/22 10:10,0.99
2022/11/22 10:10,0.99
2022/11/22 10:10,1
2022/11/22 10:10,1
2022/11/22 10:20,1
2022/11/22 10:20,1
2022/11/22 10:20,1
2022/11/23 09:31,0.67
2022/11/23 09:31,0.88
2022/11/23 10:09,0.87
2022/11/23 10:09,0.98
2022/11/24 09:32,0.85
2022/11/24 09:32,0.45
2022/11/24 09:32,0.84
2022/11/24 10:08,0.59
2022/11/24 10:08,0.57
2022/11/25 09:34,0.97
2022/11/25 09:34,0.98
2022/11/25 09:56,0.99
2022/11/25 09:56,0.99
2022/11/25 09:56,0.61
2022/11/25 10:11,0.98
2022/11/25 10:11,0.96
2022/11/26 10:07,0.94
2022/11/26 10:07,0.95
2022/11/26 10:09,0.85
2022/11/26 10:09,0.85
2022/11/26 10:09,0.94
2022/11/27 09:52,0.67
2022/11/27 09:52,0.51
2022/11/27 09:52,0.62
2022/11/27 10:09,0.74
2022/11/27 10:09,0.93
2022/11/27 10:11,0.87
2022/11/28 09:37,0
2022/11/29 10:08,0.97
2022/11/29 10:08,0.94
2022/11/29 10:08,0.78
2022/11/29 10:11,1
2022/11/29 10:11,0.87
2022/11/30 09:33,0.97
2022/11/30 09:33,0.99
2022/11/30 09:33,0.95
2022/11/30 10:07,0.98
2022/11/30 10:07,1
2022/12/1 09:31,0.73
2022/12/1 09:31,0.8
2022/12/1 09:34,0.79
2022/12/1 09:34,0.96
2022/12/1 09:34,0.98
2022/12/2 10:06,0.97
2022/12/2 10:06,0.82
2022/12/2 10:09,1
2022/12/2 10:09,1
2022/12/2 10:17,0.95
2022/12/2 10:17,0.96
2022/12/2 10:24,0.99
2022/12/2 10:24,1
2022/12/2 10:24,0.96
2022/12/4 09:35,0.89
2022/12/4 10:08,1
2022/12/4 10:08,1
2022/12/4 10:08,1
2022/12/5 09:33,0.99
2022/12/5 09:33,0.93
2022/12/5 09:33,0.82
2022/12/5 10:18,0.94
2022/12/5 10:18,0.97
2022/12/5 10:18,0.96
2022/12/6 09:35,0.9
2022/12/6 09:35,0.63
2022/12/6 10:08,0.94
2022/12/6 10:08,0.99
2022/12/6 10:08,0.98
2022/12/7 09:33,0.95
2022/12/7 09:33,0.97
2022/12/7 09:34,0.84
2022/12/7 09:34,0.89
2022/12/7 10:07,0.93
2022/12/7 10:07,0.97
2022/12/7 10:07,0.99
2022/12/8 09:31,0.94
2022/12/8 09:31,0.98
2022/12/8 10:09,0.94
2022/12/8 10:09,0.97
2022/12/8 10:18,1
2022/12/8 10:18,0.99
2022/12/8 10:18,0.99
2022/12/9 09:31,0.95
2022/12/9 09:31,0.99
2022/12/9 09:31,0.99
2022/12/9 10:10,0.99
2022/12/9 10:10,0.99
2022/12/9 10:10,0.93
2022/12/9 10:15,0.95
2022/12/9 10:15,0.99
2022/12/10 09:35,0.97
2022/12/10 09:35,0.96
2022/12/10 10:09,0.89
2022/12/10 10:09,0.79
2022/12/11 09:35,0.8
2022/12/11 10:08,0.97
2022/12/11 10:08,0.97
2022/12/11 10:08,0.94
2022/12/11 10:10,0.93
2022/12/11 10:10,0.98
2022/12/12 09:32,0.98
2022/12/12 09:32,0.97
2022/12/12 09:32,0.96
2022/12/12 10:08,0.94
2022/12/12 10:08,0.97
2022/12/13 10:07,1
2022/12/13 10:07,0.99
2022/12/13 10:10,1
2022/12/13 10:10,1
2022/12/13 10:10,1
2022/12/14 10:09,0.81
2022/12/14 10:11,0.73
2022/12/14 10:11,0.78
2022/12/14 10:17,0.86
2022/12/14 10:18,0.89
2022/12/14 10:18,1
2022/12/15 09:30,0.82
2022/12/15 09:30,0.8
2022/12/15 10:06,0.96
2022/12/15 10:14,0.88
2022/12/15 10:14,0.93
2022/12/16 09:33,0.98
2022/12/16 09:33,0.99
2022/12/16 09:35,0.99
2022/12/16 09:35,1
2022/12/16 10:11,1
2022/12/16 10:11,1
2022/12/17 10:18,0.74
2022/12/17 10:18,0.58
2022/12/18 09:22,0.86
2022/12/18 09:22,0.72
2022/12/18 10:09,0.86
2022/12/18 10:09,0.76
2022/12/18 10:09,0.36
2022/12/19 10:08,0.69
2022/12/19 10:08,0.29
2022/12/20 10:09,0.01
2022/12/20 10:09,0
2022/12/20 10:09,0
2022/12/20 10:17,0
2022/12/20 10:17,0
2022/12/21 09:30,0.99
2022/12/21 09:30,1
2022/12/21 09:30,0.94
2022/12/21 10:09,0.98
2022/12/21 10:09,0.98
2022/12/21 10:09,0.94
2022/12/21 10:13,0.99
2022/12/22 10:09,0
2022/12/22 10:09,0
2022/12/22 10:11,0
2022/12/23 09:31,0.97
2022/12/23 09:31,0.78
2022/12/23 10:09,0.95
2022/12/23 10:09,0.48
2022/12/24 09:29,0.09
2022/12/24 09:29,0.17
2022/12/24 09:29,0.01
2022/12/24 10:08,0.07
2022/12/24 10:08,0.07
2022/12/24 10:08,0.03
2022/12/25 09:54,0.19
2022/12/25 09:54,0.05
2022/12/25 09:54,0
2022/12/25 10:05,0.66
2022/12/25 10:05,0.49
2022/12/25 10:08,0.05
2022/12/25 10:08,0
2022/12/26 09:29,0.44
2022/12/26 09:29,0.19
2022/12/26 10:09,0.78
2022/12/26 10:09,0.42
2022/12/26 10:15,0.8
2022/12/26 10:15,0.63
2022/12/26 10:15,0.1
2022/12/27 09:32,1
2022/12/27 09:32,0.71
2022/12/27 09:32,0.43
2022/12/27 09:32,0.99
2022/12/27 09:32,0.95
2022/12/27 10:09,0.8
2022/12/27 10:09,0.18
2022/12/28 09:28,0.98
2022/12/28 09:29,0.99
2022/12/28 10:18,0.96
2022/12/28 10:18,0.46
2022/12/29 09:34,0.87
2022/12/29 09:34,0.95
2022/12/29 10:07,0.94
2022/12/29 10:07,0.97
2022/12/29 10:15,0.9
2022/12/29 10:15,0.92
2022/12/29 10:15,0.99
2022/12/30 09:30,0.99
2022/12/30 09:30,0.99
2022/12/30 09:32,0.97
2022/12/30 10:09,0.96
2022/12/30 10:09,0.96
2022/12/31 09:33,0.81
2022/12/31 09:33,0.92
2022/12/31 10:08,1
2022/12/31 10:08,1
2022/12/31 10:08,0.83
2022/12/31 10:17,1
2023/1/1 09:35,1
2023/1/1 09:35,0.98
2023/1/1 10:06,0.99
2023/1/1 10:06,1
2023/1/1 10:11,0.78
2023/1/1 10:11,0.98
2023/1/1 10:11,0.99
2023/1/2 09:31,0.44
2023/1/2 09:31,0.79
2023/1/2 09:31,0.98
2023/1/2 10:09,0.82
2023/1/2 10:09,0.99
2023/1/2 10:09,1
2023/1/3 09:37,0.88
2023/1/3 09:37,0.9
2023/1/3 09:37,0.96
2023/1/3 10:08,0.87
2023/1/3 10:08,0.98
2023/1/4 09:35,0.89
2023/1/4 09:35,0.77
2023/1/4 09:35,0.56
2023/1/4 10:07,0.97
2023/1/4 10:07,0.8
2023/1/5 09:28,0.96
2023/1/5 09:28,0.97
2023/1/5 09:34,0.95
2023/1/5 10:08,0.93
2023/1/5 10:08,0.97
2023/1/5 10:08,1
2023/1/5 10:10,0.87
2023/1/5 10:10,0.84
2023/1/5 10:25,0.97
2023/1/5 10:25,1
2023/1/6 09:32,0.98
2023/1/6 09:32,0.97
2023/1/6 09:58,1
2023/1/6 09:58,1
2023/1/6 10:11,0.95
2023/1/6 10:11,0.98
2023/1/6 10:13,0.96
2023/1/6 10:13,0.98
2023/1/7 09:32,0
2023/1/7 09:32,0
2023/1/7 09:52,0
2023/1/7 09:52,0
2023/1/7 10:08,0.01
2023/1/7 10:08,0
2023/1/7 10:08,0
2023/1/7 10:08,0.01
2023/1/8 09:51,0.07
2023/1/8 10:08,0.11
2023/1/8 10:18,0.05
2023/1/8 10:18,0
2023/1/9 10:07,1
2023/1/9 10:07,1
2023/1/9 10:07,0.96
2023/1/9 10:10,1
2023/1/9 10:10,1
2023/1/9 10:21,0.95
2023/1/9 10:21,0.97
2023/1/10 10:09,0.98
2023/1/10 10:09,0.58
2023/1/11 09:33,0.98
2023/1/11 09:33,0.99
2023/1/11 09:33,0.97
2023/1/11 10:10,1
2023/1/11 10:10,0.99
2023/1/12 09:29,0.62
2023/1/12 09:29,0
2023/1/12 09:33,0.47
2023/1/12 09:33,0.56
2023/1/12 10:10,0.99
2023/1/12 10:10,1
2023/1/12 10:10,1
2023/1/13 10:08,0.73
2023/1/13 10:08,0.31
2023/1/13 10:09,0.99
2023/1/13 10:09,0.74
2023/1/13 10:09,0.15
2023/1/14 10:07,0.42
2023/1/14 10:07,0.36
2023/1/14 10:10,0.82
2023/1/14 10:10,0.54
2023/1/15 10:12,1
2023/1/15 10:12,1
2023/1/16 09:58,0.86
2023/1/16 09:58,0.98
2023/1/16 10:08,0.99
2023/1/16 10:08,0.99
2023/1/16 10:09,0.89
2023/1/16 10:09,0.96
2023/1/17 09:56,1
2023/1/17 09:56,1
2023/1/17 09:56,0.99
2023/1/17 10:10,0.94
2023/1/17 10:10,0.9
2023/1/17 10:10,0.85
2023/1/18 10:12,1
2023/1/18 10:12,1
2023/1/18 10:13,1
2023/1/18 10:13,1
2023/1/18 10:13,1
2023/1/19 10:10,0.01
2023/1/19 10:10,0.01
2023/1/21 09:25,0.89
2023/1/21 09:26,0.93
2023/1/21 09:26,0.98
2023/1/21 10:06,0.84
2023/1/22 10:09,0.98
2023/1/22 10:10,0.97
2023/1/22 10:10,1
2023/1/22 10:10,1
2023/1/23 09:36,0.99
2023/1/23 09:36,1
2023/1/23 10:11,1
2023/1/23 10:11,1
2023/1/24 09:59,1
2023/1/24 09:59,0.97
2023/1/24 10:16,0.93
2023/1/24 10:16,0.91
2023/1/25 09:52,0.87
2023/1/25 09:52,0.98
2023/1/25 10:06,0.99
2023/1/25 10:06,0.99
2023/1/26 09:33,1
2023/1/26 09:33,1
2023/1/26 09:33,1
2023/1/26 10:08,1
2023/1/26 10:08,0.99
2023/1/26 10:12,1
2023/1/26 10:12,1
2023/1/26 10:12,1
2023/1/27 09:35,0.99
2023/1/27 09:35,0.99
2023/1/27 09:35,0.92
2023/1/27 09:36,0.98
2023/1/27 09:36,0.99
2023/1/28 09:31,0.85
2023/1/28 09:31,0.87
2023/1/28 09:38,0.2
2023/1/28 09:38,0.18
2023/1/28 10:10,0.93
2023/1/28 10:10,0.96
2023/1/28 10:18,0.54
2023/1/28 10:18,0.77
2023/1/28 10:18,0.93
2023/1/29 09:27,0.49
2023/1/29 10:09,0
2023/1/29 10:09,0
2023/1/30 10:07,0
2023/1/30 10:07,0
2023/1/30 10:09,0
2023/1/30 10:09,0
2023/1/30 10:09,0
2023/1/31 10:13,0
2023/1/31 10:13,0
2023/2/1 10:08,0.99
2023/2/1 10:08,0.93
2023/2/1 10:08,0.88
2023/2/1 10:11,1
2023/2/1 10:11,0.99
2023/2/1 10:11,0.98
2023/2/2 10:07,0.95
2023/2/2 10:12,1
2023/2/2 10:12,1
2023/2/2 10:12,1
2023/2/2 10:15,0.94
2023/2/2 10:15,0.97
2023/2/2 10:23,0.97
2023/2/2 10:23,0.95
2023/2/2 10:23,1
2023/2/3 09:33,0.65
2023/2/3 09:33,0.41
2023/2/3 09:33,0.64
2023/2/4 09:31,0.97
2023/2/4 09:31,0.98
2023/2/4 09:31,1
2023/2/4 09:33,0.89
2023/2/4 09:34,0.98
2023/2/4 10:13,0.94
2023/2/4 10:13,0.99
2023/2/4 10:22,0.61
2023/2/4 10:22,0.86
2023/2/5 09:30,0.98
2023/2/5 09:30,0.83
2023/2/5 09:33,0.54
2023/2/5 09:33,0.57
2023/2/5 09:33,0.7
2023/2/5 10:12,0.98
2023/2/5 10:12,1
2023/2/6 09:58,0.98
2023/2/6 09:58,0.95
2023/2/6 09:58,0.95
2023/2/6 10:08,0.97
2023/2/6 10:11,0.99
2023/2/6 10:11,0.95
2023/2/6 10:11,0.99
2023/2/6 10:27,0.97
2023/2/6 10:27,0.96
2023/2/7 09:31,1
2023/2/7 09:31,1
2023/2/7 10:10,1
2023/2/7 10:10,1
2023/2/7 10:25,1
2023/2/7 10:25,1
2023/2/7 10:26,1
2023/2/8 09:30,0.58
2023/2/8 09:30,0.32
2023/2/8 10:12,0.96
2023/2/8 10:12,0.96
2023/2/9 09:36,0.99
2023/2/9 09:36,0.99
2023/2/9 09:36,1
2023/2/9 10:06,0.95
2023/2/9 10:09,1
2023/2/9 10:09,1
2023/2/10 09:23,0.98
2023/2/10 09:23,1
2023/2/10 10:11,0.67
2023/2/10 10:11,0.79
2023/2/11 09:33,0.99
2023/2/11 09:33,1
2023/2/11 10:09,0.59
2023/2/11 10:10,0.85
2023/2/11 10:11,0.99
2023/2/11 10:11,0.98
2023/2/11 10:11,0.99
2023/2/12 09:54,0.05
2023/2/12 09:54,0
2023/2/12 10:08,0
2023/2/13 10:16,0
2023/2/13 10:17,0
2023/2/13 10:17,0.01
2023/2/14 10:06,0.9
2023/2/14 10:08,0.91
2023/2/14 10:11,0.97
2023/2/15 09:46,0.74
2023/2/15 09:48,0.92
2023/2/15 09:50,0.98
2023/2/15 09:52,0.96
2023/2/15 10:07,0.71
2023/2/15 10:10,0.67
2023/2/15 10:36,0.47
2023/2/15 10:38,0.68
2023/2/16 10:38,1
2023/2/16 10:40,0.83
2023/2/17 09:01,0.01
2023/2/17 09:03,0
2023/2/17 09:49,0
2023/2/17 09:51,0
2023/2/17 09:59,0.01
2023/2/17 10:55,0.02
2023/2/17 10:57,0.29
2023/2/17 10:59,0.16
2023/2/18 09:25,0.99
2023/2/18 09:27,0.86
2023/2/18 09:48,1
2023/2/18 09:51,0.9
2023/2/18 09:53,0.4
2023/2/18 10:17,0.96
2023/2/18 10:20,0.65
2023/2/18 10:22,0.11
2023/2/19 09:08,0.99
2023/2/19 09:11,0.93
2023/2/19 09:13,0.85
2023/2/19 09:49,1
2023/2/19 09:51,1
2023/2/20 09:23,0.13
2023/2/20 10:09,0.95
2023/2/20 10:12,0.92
2023/2/20 10:22,0.97
2023/2/20 10:24,0.98
2023/2/21 09:36,0.98
2023/2/21 09:38,0.93
2023/2/21 09:40,0.57
2023/2/21 10:01,0.87
2023/2/22 10:20,0.98
2023/2/22 10:22,0.99
2023/2/22 10:38,0.89
2023/2/22 10:40,0.99
2023/2/24 10:08,1
2023/2/24 10:10,1
2023/2/25 10:25,0.64
2023/2/25 10:27,0.64
2023/2/27 10:33,0.84
2023/2/27 10:34,0.29
2023/2/27 10:36,0.32
2023/2/27 10:37,0
2023/2/28 09:41,0.26
2023/2/28 09:44,0.12
2023/3/1 09:06,0.78
2023/3/1 09:09,0.66
2023/3/2 09:24,1
2023/3/2 10:53,0.53
2023/3/2 10:55,0.78
2023/3/3 09:00,0.62
2023/3/3 09:02,0.24
2023/3/3 10:06,0
2023/3/3 10:08,0
2023/3/3 10:36,0
2023/3/3 10:39,0.01
2023/3/3 10:41,0.06
2023/3/4 09:48,0.29
2023/3/4 09:50,0.41
2023/3/4 10:03,0.85
2023/3/4 10:05,0.93
2023/3/4 10:07,0.92
2023/3/5 10:00,0
2023/3/5 10:01,0
2023/3/5 10:02,0
2023/3/5 10:03,0
2023/3/5 10:58,0
2023/3/6 10:36,0
2023/3/6 10:38,0
2023/3/6 10:43,0
2023/3/7 09:55,0
2023/3/7 09:58,0
2023/3/8 09:08,0
2023/3/8 09:19,0
2023/3/8 09:22,0
2023/3/8 10:04,0
2023/3/8 10:59,0
2023/3/9 09:14,0.34
2023/3/9 09:16,0.55
2023/3/9 09:19,0.73
2023/3/9 09:37,0.37
2023/3/9 09:39,0.24
2023/3/9 10:22,0.99
2023/3/9 10:24,0.98
2023/3/10 09:30,0
2023/3/10 09:33,0
2023/3/10 10:34,0.02
2023/3/10 10:37,0
2023/3/10 10:37,0
2023/3/10 10:40,0
2023/3/10 10:42,0
2023/3/11 09:34,0.01
2023/3/11 09:37,0
2023/3/12 09:47,0
2023/3/12 10:28,0.02
2023/3/12 10:31,0.04
2023/3/12 10:34,0
2023/3/13 09:27,0.96
2023/3/13 09:29,0.96
2023/3/13 09:31,0.96
2023/3/13 10:08,0.99
2023/3/13 10:10,0.99
2023/3/14 09:19,0.75
2023/3/14 09:21,0.34
2023/3/14 09:34,0.76
2023/3/14 10:00,0.28
2023/3/14 10:58,0.4
2023/3/15 09:32,0.05
2023/3/15 09:34,0.16
2023/3/15 09:46,0.67
2023/3/15 09:48,0.33
2023/3/15 10:54,0.15
2023/3/15 10:56,0.18
2023/3/16 09:13,0.74
2023/3/16 09:15,0.66
2023/3/16 09:15,0.89
2023/3/16 09:42,0.8
2023/3/16 10:33,0.93
2023/3/16 10:35,0.96
2023/3/16 10:36,0.43
2023/3/16 10:37,0.81
2023/3/16 10:38,0.28
2023/3/16 10:39,0.41
2023/3/17 09:22,0.74
2023/3/17 09:24,0.56
2023/3/17 10:03,0.97
2023/3/17 10:06,0.99
2023/3/17 10:08,0.95
2023/3/17 10:57,0.99
2023/3/17 10:59,0.99
2023/3/18 09:20,0.85
2023/3/18 09:22,0.82
2023/3/18 09:25,0.53
2023/3/18 09:37,0.85
2023/3/18 09:39,0.82
2023/3/18 09:42,0.81
2023/3/18 10:25,0.93
2023/3/18 10:27,0.57
2023/3/19 09:13,1
2023/3/19 09:16,0.91
2023/3/19 09:40,0.8
2023/3/19 09:42,0.61
2023/3/19 10:37,0.95
2023/3/19 10:39,0.92
2023/3/20 09:28,0.75
2023/3/20 09:30,0.98
2023/3/20 09:30,0.66
2023/3/20 09:32,0.76
2023/3/20 09:35,0.21
2023/3/20 10:43,0.53
2023/3/20 10:45,0.12
2023/3/20 10:55,0.94
2023/3/20 10:57,0.56
2023/3/20 10:59,0.17
2023/3/21 10:12,0.95
2023/3/21 10:12,0.94
2023/3/21 09:59,0.7
2023/3/21 09:59,0.64
2023/3/22 10:13,0.52
2023/3/22 10:13,0.72
2023/3/22 10:13,0.53
2023/3/22 10:09,0.24
2023/3/22 10:10,0.13
2023/3/23 10:24,0
2023/3/23 10:24,0
2023/3/23 10:10,0
2023/3/23 10:10,0
2023/3/23 10:09,0
2023/3/23 10:09,0
2023/3/24 10:11,0.99
2023/3/24 09:38,0.99
2023/3/24 09:30,0.88
2023/3/24 09:30,0.94
2023/3/25 10:14,0.77
2023/3/25 10:14,0.95
2023/3/25 10:14,0.96
2023/3/25 10:11,0.65
2023/3/25 09:32,0.83
2023/3/25 09:32,0.97
2023/3/25 09:32,0.97
2023/3/26 10:12,0.7
2023/3/26 10:12,0.97
2023/3/26 09:32,0.98
2023/3/26 09:32,0.97
2023/3/27 10:17,0.93
2023/3/27 10:11,0.99
2023/3/27 10:11,0.98
2023/3/27 09:27,0.69
2023/3/28 10:12,0.72
2023/3/28 10:12,0.78
2023/3/28 09:43,0.99
2023/3/28 09:43,1
2023/3/28 09:43,1
2023/3/28 09:37,1
2023/3/28 09:37,0.99
2023/3/28 09:30,0.63
2023/3/28 09:30,0.76
2023/3/29 10:14,0.96
2023/3/29 10:14,1
2023/3/29 10:09,0.86
2023/3/29 10:09,0.95
2023/3/30 09:40,0.83
2023/3/30 09:40,0.91
2023/3/30 09:36,0.04
2023/3/30 09:36,0.37
2023/3/30 09:33,0.58
2023/3/30 09:33,0.91
2023/3/31 09:38,0.94
2023/3/31 09:38,0.94
2023/4/1 09:35,0.78
2023/4/1 09:35,0.72
2023/4/1 09:35,0.64
2023/4/1 09:29,0.3
2023/4/1 09:29,0.26
2023/4/1 09:29,0.26
2023/4/2 10:09,0.98
2023/4/2 10:09,0.99
2023/4/2 09:39,0.92
2023/4/2 09:39,0.88
2023/4/2 09:39,0.96
2023/4/3 10:11,0.04
2023/4/3 10:11,0
2023/4/3 10:11,0
2023/4/3 10:01,0
2023/4/3 10:01,0.07
2023/4/3 10:01,0.29
2023/4/4 09:42,0.99
2023/4/4 09:42,0.99
2023/4/4 09:35,0.55
2023/4/4 09:36,0.54
2023/4/5 10:15,0.74
2023/4/5 10:15,0.44
2023/4/5 10:13,0.91
2023/4/5 09:42,0.91
2023/4/5 09:42,0.84
2023/4/5 09:42,0.74
2023/4/6 10:08,0.99
2023/4/6 10:08,0.99
2023/4/6 09:38,0.93
2023/4/6 09:38,0.95
2023/4/6 09:38,0.93
2023/4/6 09:35,0.97
2023/4/6 09:35,1
2023/4/7 10:13,0.61
2023/4/7 10:13,0.57
2023/4/7 10:13,0.71
2023/4/7 10:11,0.79
2023/4/7 10:11,0.68
2023/4/7 09:39,0.9
2023/4/7 09:39,0.99
2023/4/7 09:39,1
2023/4/7 09:29,0.92
2023/4/7 09:29,0.91
2023/4/8 10:12,0.88
2023/4/8 09:41,0.66
2023/4/8 09:42,0.75
2023/4/8 09:42,0.89
2023/4/8 09:40,0.86
2023/4/9 09:35,0.89
2023/4/9 09:35,0.98
2023/4/9 09:35,0.97
2023/4/9 09:32,0.91
2023/4/9 09:32,1
2023/4/10 10:10,0.43
2023/4/10 10:10,0.42
2023/4/10 10:10,0.79
2023/4/10 09:41,0.07
2023/4/10 09:41,0.13
2023/4/10 09:39,0.58
2023/4/10 09:39,0.37
2023/4/10 09:35,0.49
2023/4/10 09:35,0.23
2023/4/11 10:29,0.88
2023/4/11 10:29,0.6
2023/4/11 09:40,0.7
2023/4/12 09:41,0.98
2023/4/12 09:41,0.87
2023/4/12 09:29,1
