Time,Tide
2022/11/1 03:06,81
2022/11/1 09:36,-121
2022/11/1 16:36,106
2022/11/1 22:53,-43
2022/11/2 04:31,74
2022/11/2 11:01,-111
2022/11/2 17:55,106
2022/11/3 00:15,-55
2022/11/3 06:00,79
2022/11/3 12:26,-111
2022/11/3 19:05,113
2022/11/4 01:24,-74
2022/11/4 07:16,95
2022/11/4 13:38,-116
2022/11/4 20:03,122
2022/11/5 02:22,-96
2022/11/5 08:19,113
2022/11/5 14:39,-121
2022/11/5 20:51,128
2022/11/6 03:09,-116
2022/11/6 09:13,127
2022/11/6 15:30,-121
2022/11/6 21:31,130
2022/11/7 03:52,-133
2022/11/7 09:59,136
2022/11/7 16:17,-116
2022/11/7 22:08,126
2022/11/8 04:29,-145
2022/11/8 10:41,140
2022/11/8 16:58,-108
2022/11/8 22:41,118
2022/11/9 05:03,-153
2022/11/9 11:19,138
2022/11/9 17:36,-98
2022/11/9 23:12,109
2022/11/10 05:34,-156
2022/11/10 11:56,133
2022/11/10 18:11,-88
2022/11/10 23:43,100
2022/11/11 06:05,-156
2022/11/11 12:33,124
2022/11/11 18:45,-79
2022/11/12 00:15,91
2022/11/12 06:38,-151
2022/11/12 13:11,114
2022/11/12 19:20,-70
2022/11/13 00:50,82
2022/11/13 07:15,-142
2022/11/13 13:53,102
2022/11/13 20:00,-61
2022/11/14 01:30,71
2022/11/14 07:57,-130
2022/11/14 14:42,92
2022/11/14 20:48,-53
2022/11/15 02:18,60
2022/11/15 08:46,-115
2022/11/15 15:37,84
2022/11/15 21:46,-49
2022/11/16 03:19,50
2022/11/16 09:45,-101
2022/11/16 16:38,81
2022/11/16 22:54,-51
2022/11/17 04:34,46
2022/11/17 10:55,-92
2022/11/17 17:41,83
2022/11/18 00:00,-61
2022/11/18 05:53,52
2022/11/18 12:07,-91
2022/11/18 18:39,90
2022/11/19 00:58,-78
2022/11/19 07:01,67
2022/11/19 13:12,-96
2022/11/19 19:30,98
2022/11/20 01:47,-98
2022/11/20 07:57,87
2022/11/20 14:06,-103
2022/11/20 20:14,107
2022/11/21 02:30,-119
2022/11/21 08:44,108
2022/11/21 14:56,-108
2022/11/21 20:54,114
2022/11/22 03:09,-139
2022/11/22 09:28,126
2022/11/22 15:42,-110
2022/11/22 21:31,119
2022/11/23 03:47,-158
2022/11/23 10:10,139
2022/11/23 16:25,-107
2022/11/23 22:08,121
2022/11/24 04:25,-174
2022/11/24 10:52,146
2022/11/24 17:08,-100
2022/11/24 22:45,121
2022/11/25 05:04,-184
2022/11/25 11:36,147
2022/11/25 17:51,-91
2022/11/25 23:24,117
2022/11/26 05:45,-187
2022/11/26 12:22,142
2022/11/26 18:35,-81
2022/11/27 00:07,111
2022/11/27 06:30,-183
2022/11/27 13:13,133
2022/11/27 19:24,-72
2022/11/28 00:56,101
2022/11/28 07:21,-170
2022/11/28 14:08,122
2022/11/28 20:19,-65
2022/11/29 01:53,90
2022/11/29 08:19,-153
2022/11/29 15:09,112
2022/11/29 21:23,-63
2022/11/30 03:00,80
2022/11/30 09:26,-134
2022/11/30 16:14,104
2022/11/30 22:33,-67
2022/12/1 04:16,74
2022/12/1 10:42,-119
2022/12/1 17:22,101
2022/12/1 23:46,-79
2022/12/2 05:36,75
2022/12/2 11:59,-110
2022/12/2 18:28,102
2022/12/3 00:52,-96
2022/12/3 06:53,84
2022/12/3 13:11,-106
2022/12/3 19:27,104
2022/12/4 01:52,-116
2022/12/4 08:00,96
2022/12/4 14:15,-104
2022/12/4 20:17,105
2022/12/5 02:43,-135
2022/12/5 08:58,107
2022/12/5 15:12,-101
2022/12/5 21:02,102
2022/12/6 03:27,-149
2022/12/6 09:47,115
2022/12/6 16:02,-97
2022/12/6 21:42,97
2022/12/7 04:07,-158
2022/12/7 10:31,119
2022/12/7 16:46,-93
2022/12/7 22:19,90
2022/12/8 04:42,-163
2022/12/8 11:10,118
2022/12/8 17:24,-89
2022/12/8 22:53,84
2022/12/9 05:15,-165
2022/12/9 11:46,114
2022/12/9 17:58,-84
